investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
10f6f4f1-d1d0-4147-2383-ec0062cccd7f,0.1111111111111111,0.2727272727272727,0.9375,Universalist,L1
b804fd83-fbb4-29c0-8933-511e561d258f,0.1111111111111111,0.2727272727272727,0.9375,Universalist,L1
dfc56abe-c5e3-0e2e-a4ee-b74ef3e7458d,0.1111111111111111,0.4545454545454545,0.9375,Universalist,L1
7dea0da9-e73c-3fe5-46cf-2a926fa72485,0.1111111111111111,0.4545454545454545,0.9375,Universalist,L1
4b1e37f7-4a98-41c5-99a9-621f87f9f2f0,0.1111111111111111,0.4545454545454545,0.9375,Universalist,L1
7cfe3c7f-45f5-1023-ec5a-265a0cfe1303,0.1111111111111111,0.2727272727272727,0.9375,Universalist,L1
d05b2ccf-11e2-4f96-de1e-36ed8c690600,0.1111111111111111,0.5454545454545454,0.875,Universalist,L1
73d69010-1075-5c2f-c09a-08bd1ea430a4,0.1111111111111111,0.5454545454545454,0.875,Universalist,L1
3622c2c9-ff63-d38d-8068-42d72ba33e8e,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
e01aaf68-c7f1-7d2f-1d67-f8f56b8b73f0,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
8877e2b0-7279-31f7-8fbd-391c7377a788,0.1111111111111111,0.8181818181818182,0.625,Focused,L2
04264f8b-ec67-9676-575a-c4288c59dd26,0.1111111111111111,0.7272727272727273,0.625,Balanced,L2
8446da2b-e972-2187-f432-faada0bd27ee,0.1111111111111111,0.7272727272727273,0.625,Balanced,L2
f55978f2-c9cc-66bb-381f-51bee1feb984,0.1111111111111111,0.8181818181818182,0.625,Universalist,L2
308da565-d1a7-f4f3-e59c-7b583fea0b43,0.1111111111111111,0.9090909090909092,0.625,Diverse,L2
992173c8-2a51-25bf-5898-6e295ebdbe89,0.1111111111111111,0.9090909090909092,0.625,Diverse,L2
0fb4def3-12df-dd70-2232-ec4381764cd3,0.1111111111111111,0.9090909090909092,0.625,Diverse,L2
8bdffc22-31b4-0246-34c9-6d9309649f28,0.1111111111111111,1.0,0.625,Balanced,L2
ad259f63-df9d-4a8c-f269-3cbdb96d7042,0.2222222222222222,0.4545454545454545,0.625,Universalist,L2
bc1ff706-5a46-ad9a-2b19-c93e87e44604,0.1111111111111111,0.8181818181818182,0.625,Diverse,L2
bee343f9-7788-7791-a0ab-6e5873593bd8,0.1111111111111111,0.9090909090909092,0.625,Universalist,L2
38ec1a04-fe8f-5c81-84d7-42ad5fa140b3,0.3333333333333333,0.6363636363636364,0.6041666666666666,Diverse,L2
d0112da0-c9cc-b529-3c62-257e8e7276f8,0.2222222222222222,0.2727272727272727,0.46875,Balanced,L3
91d6496b-b5d3-607f-e006-a1b60e1a9e10,0.4444444444444444,0.8181818181818182,0.4375,Focused,L3
4390451a-fad0-8609-2167-7480514efe39,0.2222222222222222,0.8181818181818182,0.4375,Universalist,L3
7e60f94c-4001-7433-2530-c47049a2baba,0.2222222222222222,0.5454545454545454,0.4375,Focused,L3
b87d82b2-f41a-50d5-330c-f4b23096ed92,0.2222222222222222,0.9090909090909092,0.4375,Specialized,L3
